noStudents,noStaffs,noBench_and_Desk,noComputer,noBoard,noClassrooms,prevPassPercentage,status
391,19,97,97,7,7,76,Very Good
400,20,100,100,8,8,78,Very Good
402,20,100,100,8,8,58,Good
257,12,64,64,5,5,94,Very Good
383,19,95,95,7,7,84,Very Good
352,17,88,88,7,7,46,Fine
185,9,46,46,3,3,50,Good
374,18,93,93,7,7,72,Very Good
451,22,112,112,9,9,56,Good
495,24,123,123,9,9,69,Good
257,12,64,64,5,5,63,Good
280,14,70,70,5,5,64,Good
220,11,55,55,4,4,64,Good
219,10,54,54,4,4,69,Good
315,15,78,78,6,6,72,Very Good
254,12,63,63,5,5,60,Good
364,18,91,91,7,7,51,Good
157,7,39,39,3,3,98,Very Good
439,21,109,109,8,8,86,Very Good
331,16,82,82,6,6,86,Very Good
263,13,65,65,5,5,83,Very Good
186,9,46,46,3,3,68,Good
260,13,65,65,5,5,61,Good
132,6,33,33,2,2,96,Very Good
173,8,43,43,3,3,55,Good
248,12,62,62,4,4,100,Very Good
243,12,60,60,4,4,50,Good
294,14,73,73,5,5,45,Fine
414,20,103,103,8,8,71,Very Good
268,13,67,67,5,5,59,Good
499,24,124,124,9,9,76,Very Good
435,21,108,108,8,8,97,Very Good
335,16,83,83,6,6,76,Very Good
397,19,99,99,7,7,61,Good
316,15,79,79,6,6,84,Very Good
218,10,54,54,4,4,61,Good
105,5,26,26,2,2,89,Very Good
265,13,66,66,5,5,76,Very Good
336,16,84,84,6,6,71,Very Good
136,6,34,34,2,2,88,Very Good
166,8,41,41,3,3,59,Good
413,20,103,103,8,8,49,Fine
101,5,25,25,2,2,59,Good
460,23,115,115,9,9,50,Good
288,14,72,72,5,5,92,Very Good
169,8,42,42,3,3,96,Very Good
188,9,47,47,3,3,90,Very Good
344,17,86,86,6,6,49,Fine
354,17,88,88,7,7,42,Fine
238,11,59,59,4,4,50,Good
230,11,57,57,4,4,82,Very Good
256,12,64,64,5,5,63,Good
379,18,94,94,7,7,71,Very Good
161,8,40,40,3,3,54,Good
461,23,115,115,9,9,65,Good
452,22,113,113,9,9,62,Good
301,15,75,75,6,6,67,Good
167,8,41,41,3,3,87,Very Good
113,5,28,28,2,2,55,Good
260,13,65,65,5,5,51,Good
423,21,105,105,8,8,93,Very Good
111,5,27,27,2,2,97,Very Good
154,7,38,38,3,3,70,Very Good
299,14,74,74,5,5,69,Good
253,12,63,63,5,5,63,Good
354,17,88,88,7,7,89,Very Good
296,14,74,74,5,5,62,Good
220,11,55,55,4,4,65,Good
177,8,44,44,3,3,69,Good
204,10,51,51,4,4,63,Good
297,14,74,74,5,5,98,Very Good
320,16,80,80,6,6,91,Very Good
312,15,78,78,6,6,56,Good
297,14,74,74,5,5,51,Good
250,12,62,62,5,5,87,Very Good
443,22,110,110,8,8,52,Good
267,13,66,66,5,5,83,Very Good
330,16,82,82,6,6,61,Good
274,13,68,68,5,5,59,Good
282,14,70,70,5,5,65,Good
221,11,55,55,4,4,80,Very Good
390,19,97,97,7,7,50,Good
364,18,91,91,7,7,91,Very Good
164,8,41,41,3,3,86,Very Good
178,8,44,44,3,3,45,Fine
472,23,118,118,9,9,56,Good
207,10,51,51,4,4,85,Very Good
271,13,67,67,5,5,70,Very Good
377,18,94,94,7,7,69,Good
154,7,38,38,3,3,67,Good
402,20,100,100,8,8,96,Very Good
168,8,42,42,3,3,85,Very Good
419,20,104,104,8,8,62,Good
368,18,92,92,7,7,50,Good
179,8,44,44,3,3,91,Very Good
299,14,74,74,5,5,64,Good
499,24,124,124,9,9,79,Very Good
125,6,31,31,2,2,99,Very Good
234,11,58,58,4,4,44,Fine
182,9,45,45,3,3,61,Good
468,23,117,117,9,9,67,Good
485,24,121,121,9,9,55,Good
263,13,65,65,5,5,57,Good
464,23,116,116,9,9,79,Very Good
468,23,117,117,9,9,100,Very Good
155,7,38,38,3,3,63,Good
163,8,40,40,3,3,85,Very Good
422,21,105,105,8,8,64,Good
455,22,113,113,9,9,76,Very Good
234,11,58,58,4,4,89,Very Good
206,10,51,51,4,4,51,Good
446,22,111,111,8,8,68,Good
245,12,61,61,4,4,51,Good
270,13,67,67,5,5,67,Good
419,20,104,104,8,8,92,Very Good
277,13,69,69,5,5,65,Good
435,21,108,108,8,8,93,Very Good
139,6,34,34,2,2,71,Very Good
358,17,89,89,7,7,46,Fine
220,11,55,55,4,4,73,Very Good
110,5,27,27,2,2,54,Good
249,12,62,62,4,4,80,Very Good
425,21,106,106,8,8,67,Good
167,8,41,41,3,3,68,Good
390,19,97,97,7,7,89,Very Good
484,24,121,121,9,9,89,Very Good
208,10,52,52,4,4,62,Good
186,9,46,46,3,3,93,Very Good
464,23,116,116,9,9,99,Very Good
419,20,104,104,8,8,58,Good
173,8,43,43,3,3,50,Good
173,8,43,43,3,3,81,Very Good
402,20,100,100,8,8,42,Fine
214,10,53,53,4,4,64,Good
118,5,29,29,2,2,63,Good
443,22,110,110,8,8,68,Good
101,5,25,25,2,2,81,Very Good
119,5,29,29,2,2,50,Good
308,15,77,77,6,6,49,Fine
146,7,36,36,2,2,40,Fine
298,14,74,74,5,5,96,Very Good
431,21,107,107,8,8,51,Good
392,19,98,98,7,7,56,Good
364,18,91,91,7,7,89,Very Good
342,17,85,85,6,6,94,Very Good
441,22,110,110,8,8,80,Very Good
166,8,41,41,3,3,76,Very Good
303,15,75,75,6,6,77,Very Good
261,13,65,65,5,5,53,Good
177,8,44,44,3,3,64,Good
214,10,53,53,4,4,74,Very Good
161,8,40,40,3,3,55,Good
466,23,116,116,9,9,63,Good
312,15,78,78,6,6,43,Fine
379,18,94,94,7,7,95,Very Good
334,16,83,83,6,6,46,Fine
234,11,58,58,4,4,71,Very Good
457,22,114,114,9,9,49,Fine
264,13,66,66,5,5,75,Very Good
346,17,86,86,6,6,89,Very Good
151,7,37,37,3,3,95,Very Good
429,21,107,107,8,8,86,Very Good
114,5,28,28,2,2,98,Very Good
106,5,26,26,2,2,73,Very Good
249,12,62,62,4,4,53,Good
381,19,95,95,7,7,47,Fine
186,9,46,46,3,3,76,Very Good
377,18,94,94,7,7,60,Good
274,13,68,68,5,5,87,Very Good
265,13,66,66,5,5,53,Good
380,19,95,95,7,7,95,Very Good
437,21,109,109,8,8,81,Very Good
262,13,65,65,5,5,96,Very Good
113,5,28,28,2,2,86,Very Good
447,22,111,111,8,8,100,Very Good
240,12,60,60,4,4,63,Good
335,16,83,83,6,6,81,Very Good
345,17,86,86,6,6,55,Good
392,19,98,98,7,7,40,Fine
361,18,90,90,7,7,61,Good
237,11,59,59,4,4,90,Very Good
331,16,82,82,6,6,48,Fine
153,7,38,38,3,3,52,Good
200,10,50,50,4,4,91,Very Good
324,16,81,81,6,6,84,Very Good
421,21,105,105,8,8,100,Very Good
410,20,102,102,8,8,45,Fine
137,6,34,34,2,2,89,Very Good
166,8,41,41,3,3,86,Very Good
139,6,34,34,2,2,47,Fine
333,16,83,83,6,6,65,Good
283,14,70,70,5,5,64,Good
341,17,85,85,6,6,94,Very Good
466,23,116,116,9,9,77,Very Good
288,14,72,72,5,5,52,Good
272,13,68,68,5,5,41,Fine
414,20,103,103,8,8,67,Good
280,14,70,70,5,5,45,Fine
495,24,123,123,9,9,62,Good
212,10,53,53,4,4,67,Good
286,14,71,71,5,5,62,Good
479,23,119,119,9,9,90,Very Good
146,7,36,36,2,2,70,Very Good
382,19,95,95,7,7,47,Fine
312,15,78,78,6,6,74,Very Good
179,8,44,44,3,3,82,Very Good
323,16,80,80,6,6,57,Good
235,11,58,58,4,4,49,Fine
147,7,36,36,2,2,47,Fine
108,5,27,27,2,2,40,Fine
219,10,54,54,4,4,43,Fine
400,20,100,100,8,8,56,Good
196,9,49,49,3,3,94,Very Good
304,15,76,76,6,6,47,Fine
104,5,26,26,2,2,73,Very Good
219,10,54,54,4,4,82,Very Good
110,5,27,27,2,2,40,Fine
442,22,110,110,8,8,87,Very Good
299,14,74,74,5,5,56,Good
114,5,28,28,2,2,53,Good
388,19,97,97,7,7,75,Very Good
280,14,70,70,5,5,70,Very Good
394,19,98,98,7,7,95,Very Good
421,21,105,105,8,8,89,Very Good
323,16,80,80,6,6,44,Fine
217,10,54,54,4,4,100,Very Good
230,11,57,57,4,4,85,Very Good
371,18,92,92,7,7,52,Good
422,21,105,105,8,8,80,Very Good
288,14,72,72,5,5,85,Very Good
500,25,125,125,10,10,46,Fine
101,5,25,25,2,2,51,Good
239,11,59,59,4,4,51,Good
225,11,56,56,4,4,68,Good
392,19,98,98,7,7,85,Very Good
411,20,102,102,8,8,91,Very Good
467,23,116,116,9,9,81,Very Good
304,15,76,76,6,6,46,Fine
349,17,87,87,6,6,85,Very Good
325,16,81,81,6,6,61,Good
290,14,72,72,5,5,64,Good
437,21,109,109,8,8,70,Very Good
100,5,25,25,2,2,64,Good
163,8,40,40,3,3,74,Very Good
500,25,125,125,10,10,99,Very Good
357,17,89,89,7,7,89,Very Good
146,7,36,36,2,2,84,Very Good
111,5,27,27,2,2,47,Fine
324,16,81,81,6,6,81,Very Good
172,8,43,43,3,3,90,Very Good
481,24,120,120,9,9,63,Good
330,16,82,82,6,6,80,Very Good
412,20,103,103,8,8,86,Very Good
390,19,97,97,7,7,46,Fine
474,23,118,118,9,9,72,Very Good
459,22,114,114,9,9,71,Very Good
268,13,67,67,5,5,75,Very Good
483,24,120,120,9,9,52,Good
387,19,96,96,7,7,46,Fine
229,11,57,57,4,4,97,Very Good
380,19,95,95,7,7,97,Very Good
271,13,67,67,5,5,69,Good
243,12,60,60,4,4,71,Very Good
457,22,114,114,9,9,63,Good
498,24,124,124,9,9,84,Very Good
107,5,26,26,2,2,66,Good
353,17,88,88,7,7,51,Good
422,21,105,105,8,8,42,Fine
473,23,118,118,9,9,74,Very Good
134,6,33,33,2,2,74,Very Good
388,19,97,97,7,7,88,Very Good
445,22,111,111,8,8,78,Very Good
453,22,113,113,9,9,49,Fine
318,15,79,79,6,6,73,Very Good
426,21,106,106,8,8,45,Fine
292,14,73,73,5,5,57,Good
274,13,68,68,5,5,88,Very Good
227,11,56,56,4,4,56,Good
163,8,40,40,3,3,70,Very Good
220,11,55,55,4,4,68,Good
255,12,63,63,5,5,91,Very Good
388,19,97,97,7,7,84,Very Good
460,23,115,115,9,9,97,Very Good
377,18,94,94,7,7,57,Good
326,16,81,81,6,6,73,Very Good
367,18,91,91,7,7,65,Good
278,13,69,69,5,5,61,Good
439,21,109,109,8,8,56,Good
464,23,116,116,9,9,59,Good
270,13,67,67,5,5,96,Very Good
143,7,35,35,2,2,51,Good
329,16,82,82,6,6,86,Very Good
412,20,103,103,8,8,87,Very Good
477,23,119,119,9,9,56,Good
260,13,65,65,5,5,75,Very Good
385,19,96,96,7,7,62,Good
235,11,58,58,4,4,76,Very Good
283,14,70,70,5,5,79,Very Good
471,23,117,117,9,9,48,Fine
149,7,37,37,2,2,72,Very Good
217,10,54,54,4,4,65,Good
279,13,69,69,5,5,88,Very Good
196,9,49,49,3,3,51,Good
241,12,60,60,4,4,80,Very Good
334,16,83,83,6,6,78,Very Good
377,18,94,94,7,7,43,Fine
118,5,29,29,2,2,45,Fine
415,20,103,103,8,8,64,Good
442,22,110,110,8,8,98,Very Good
161,8,40,40,3,3,64,Good
356,17,89,89,7,7,42,Fine
350,17,87,87,7,7,46,Fine
138,6,34,34,2,2,48,Fine
114,5,28,28,2,2,84,Very Good
270,13,67,67,5,5,45,Fine
445,22,111,111,8,8,77,Very Good
480,24,120,120,9,9,44,Fine
470,23,117,117,9,9,98,Very Good
136,6,34,34,2,2,53,Good
499,24,124,124,9,9,54,Good
142,7,35,35,2,2,68,Good
423,21,105,105,8,8,65,Good
110,5,27,27,2,2,51,Good
444,22,111,111,8,8,63,Good
196,9,49,49,3,3,85,Very Good
356,17,89,89,7,7,85,Very Good
279,13,69,69,5,5,72,Very Good
407,20,101,101,8,8,99,Very Good
174,8,43,43,3,3,73,Very Good
354,17,88,88,7,7,40,Fine
492,24,123,123,9,9,89,Very Good
323,16,80,80,6,6,46,Fine
321,16,80,80,6,6,60,Good
345,17,86,86,6,6,85,Very Good
488,24,122,122,9,9,97,Very Good
226,11,56,56,4,4,80,Very Good
107,5,26,26,2,2,50,Good
155,7,38,38,3,3,76,Very Good
471,23,117,117,9,9,80,Very Good
131,6,32,32,2,2,43,Fine
236,11,59,59,4,4,90,Very Good
424,21,106,106,8,8,51,Good
264,13,66,66,5,5,84,Very Good
131,6,32,32,2,2,76,Very Good
370,18,92,92,7,7,73,Very Good
249,12,62,62,4,4,43,Fine
237,11,59,59,4,4,87,Very Good
344,17,86,86,6,6,68,Good
299,14,74,74,5,5,67,Good
313,15,78,78,6,6,74,Very Good
417,20,104,104,8,8,65,Good
190,9,47,47,3,3,66,Good
266,13,66,66,5,5,77,Very Good
405,20,101,101,8,8,73,Very Good
146,7,36,36,2,2,70,Very Good
331,16,82,82,6,6,94,Very Good
126,6,31,31,2,2,89,Very Good
485,24,121,121,9,9,65,Good
288,14,72,72,5,5,60,Good
215,10,53,53,4,4,100,Very Good
106,5,26,26,2,2,55,Good
445,22,111,111,8,8,90,Very Good
127,6,31,31,2,2,74,Very Good
119,5,29,29,2,2,91,Very Good
491,24,122,122,9,9,55,Good
449,22,112,112,8,8,52,Good
212,10,53,53,4,4,61,Good
178,8,44,44,3,3,100,Very Good
134,6,33,33,2,2,63,Good
221,11,55,55,4,4,97,Very Good
387,19,96,96,7,7,49,Fine
340,17,85,85,6,6,60,Good
168,8,42,42,3,3,49,Fine
237,11,59,59,4,4,53,Good
129,6,32,32,2,2,41,Fine
322,16,80,80,6,6,80,Very Good
194,9,48,48,3,3,61,Good
341,17,85,85,6,6,78,Very Good
484,24,121,121,9,9,97,Very Good
456,22,114,114,9,9,72,Very Good
122,6,30,30,2,2,100,Very Good
370,18,92,92,7,7,64,Good
270,13,67,67,5,5,82,Very Good
357,17,89,89,7,7,54,Good
245,12,61,61,4,4,96,Very Good
330,16,82,82,6,6,56,Good
168,8,42,42,3,3,61,Good
331,16,82,82,6,6,71,Very Good
397,19,99,99,7,7,68,Good
179,8,44,44,3,3,65,Good
199,9,49,49,3,3,63,Good
200,10,50,50,4,4,63,Good
265,13,66,66,5,5,62,Good
391,19,97,97,7,7,49,Fine
468,23,117,117,9,9,49,Fine
383,19,95,95,7,7,44,Fine
345,17,86,86,6,6,89,Very Good
403,20,100,100,8,8,44,Fine
495,24,123,123,9,9,49,Fine
275,13,68,68,5,5,64,Good
152,7,38,38,3,3,85,Very Good
467,23,116,116,9,9,60,Good
498,24,124,124,9,9,47,Fine
480,24,120,120,9,9,56,Good
301,15,75,75,6,6,92,Very Good
142,7,35,35,2,2,93,Very Good
495,24,123,123,9,9,55,Good
321,16,80,80,6,6,62,Good
427,21,106,106,8,8,63,Good
113,5,28,28,2,2,49,Fine
471,23,117,117,9,9,62,Good
303,15,75,75,6,6,49,Fine
462,23,115,115,9,9,66,Good
412,20,103,103,8,8,86,Very Good
291,14,72,72,5,5,58,Good
499,24,124,124,9,9,87,Very Good
307,15,76,76,6,6,46,Fine
176,8,44,44,3,3,51,Good
234,11,58,58,4,4,85,Very Good
164,8,41,41,3,3,81,Very Good
210,10,52,52,4,4,65,Good
182,9,45,45,3,3,57,Good
196,9,49,49,3,3,96,Very Good
287,14,71,71,5,5,91,Very Good
191,9,47,47,3,3,83,Very Good
351,17,87,87,7,7,98,Very Good
440,22,110,110,8,8,77,Very Good
199,9,49,49,3,3,74,Very Good
499,24,124,124,9,9,85,Very Good
411,20,102,102,8,8,68,Good
326,16,81,81,6,6,68,Good
259,12,64,64,5,5,44,Fine
258,12,64,64,5,5,69,Good
225,11,56,56,4,4,83,Very Good
114,5,28,28,2,2,61,Good
163,8,40,40,3,3,40,Fine
319,15,79,79,6,6,77,Very Good
302,15,75,75,6,6,78,Very Good
364,18,91,91,7,7,89,Very Good
301,15,75,75,6,6,90,Very Good
112,5,28,28,2,2,75,Very Good
496,24,124,124,9,9,43,Fine
227,11,56,56,4,4,87,Very Good
396,19,99,99,7,7,51,Good
141,7,35,35,2,2,79,Very Good
145,7,36,36,2,2,81,Very Good
376,18,94,94,7,7,70,Very Good
270,13,67,67,5,5,83,Very Good
217,10,54,54,4,4,90,Very Good
494,24,123,123,9,9,47,Fine
361,18,90,90,7,7,55,Good
309,15,77,77,6,6,60,Good
190,9,47,47,3,3,63,Good
203,10,50,50,4,4,45,Fine
328,16,82,82,6,6,92,Very Good
434,21,108,108,8,8,75,Very Good
372,18,93,93,7,7,59,Good
384,19,96,96,7,7,65,Good
232,11,58,58,4,4,91,Very Good
423,21,105,105,8,8,85,Very Good
481,24,120,120,9,9,49,Fine
202,10,50,50,4,4,67,Good
401,20,100,100,8,8,48,Fine
398,19,99,99,7,7,100,Very Good
120,6,30,30,2,2,77,Very Good
121,6,30,30,2,2,44,Fine
275,13,68,68,5,5,74,Very Good
352,17,88,88,7,7,52,Good
464,23,116,116,9,9,77,Very Good
159,7,39,39,3,3,51,Good
106,5,26,26,2,2,75,Very Good
314,15,78,78,6,6,49,Fine
446,22,111,111,8,8,72,Very Good
118,5,29,29,2,2,75,Very Good
286,14,71,71,5,5,83,Very Good
217,10,54,54,4,4,83,Very Good
227,11,56,56,4,4,70,Very Good
379,18,94,94,7,7,72,Very Good
403,20,100,100,8,8,81,Very Good
467,23,116,116,9,9,70,Very Good
341,17,85,85,6,6,70,Very Good
453,22,113,113,9,9,48,Fine
335,16,83,83,6,6,60,Good
218,10,54,54,4,4,88,Very Good
263,13,65,65,5,5,47,Fine
110,5,27,27,2,2,96,Very Good
276,13,69,69,5,5,88,Very Good
478,23,119,119,9,9,68,Good
401,20,100,100,8,8,66,Good
113,5,28,28,2,2,48,Fine
128,6,32,32,2,2,66,Good
245,12,61,61,4,4,53,Good
181,9,45,45,3,3,81,Very Good
479,23,119,119,9,9,56,Good
227,11,56,56,4,4,100,Very Good
406,20,101,101,8,8,69,Good
472,23,118,118,9,9,81,Very Good
199,9,49,49,3,3,76,Very Good
266,13,66,66,5,5,91,Very Good
207,10,51,51,4,4,81,Very Good
223,11,55,55,4,4,55,Good
286,14,71,71,5,5,61,Good
175,8,43,43,3,3,65,Good
304,15,76,76,6,6,53,Good
380,19,95,95,7,7,47,Fine
226,11,56,56,4,4,87,Very Good
307,15,76,76,6,6,73,Very Good
415,20,103,103,8,8,90,Very Good
416,20,104,104,8,8,81,Very Good
146,7,36,36,2,2,87,Very Good
138,6,34,34,2,2,99,Very Good
297,14,74,74,5,5,79,Very Good
376,18,94,94,7,7,73,Very Good
351,17,87,87,7,7,82,Very Good
325,16,81,81,6,6,62,Good
461,23,115,115,9,9,78,Very Good
253,12,63,63,5,5,92,Very Good
123,6,30,30,2,2,77,Very Good
207,10,51,51,4,4,84,Very Good
248,12,62,62,4,4,91,Very Good
455,22,113,113,9,9,40,Fine
307,15,76,76,6,6,63,Good
271,13,67,67,5,5,81,Very Good
195,9,48,48,3,3,43,Fine
247,12,61,61,4,4,100,Very Good
400,20,100,100,8,8,84,Very Good
447,22,111,111,8,8,92,Very Good
490,24,122,122,9,9,77,Very Good
322,16,80,80,6,6,68,Good
465,23,116,116,9,9,70,Very Good
416,20,104,104,8,8,58,Good
195,9,48,48,3,3,83,Very Good
163,8,40,40,3,3,65,Good
445,22,111,111,8,8,63,Good
463,23,115,115,9,9,53,Good
290,14,72,72,5,5,81,Very Good
343,17,85,85,6,6,58,Good
338,16,84,84,6,6,58,Good
103,5,25,25,2,2,70,Very Good
101,5,25,25,2,2,44,Fine
181,9,45,45,3,3,89,Very Good
481,24,120,120,9,9,70,Very Good
135,6,33,33,2,2,60,Good
238,11,59,59,4,4,77,Very Good
425,21,106,106,8,8,42,Fine
186,9,46,46,3,3,57,Good
157,7,39,39,3,3,49,Fine
224,11,56,56,4,4,95,Very Good
411,20,102,102,8,8,56,Good
420,21,105,105,8,8,67,Good
125,6,31,31,2,2,89,Very Good
275,13,68,68,5,5,48,Fine
238,11,59,59,4,4,60,Good
223,11,55,55,4,4,80,Very Good
320,16,80,80,6,6,45,Fine
463,23,115,115,9,9,88,Very Good
478,23,119,119,9,9,97,Very Good
465,23,116,116,9,9,48,Fine
474,23,118,118,9,9,72,Very Good
143,7,35,35,2,2,62,Good
107,5,26,26,2,2,59,Good
117,5,29,29,2,2,81,Very Good
300,15,75,75,6,6,45,Fine
408,20,102,102,8,8,50,Good
478,23,119,119,9,9,55,Good
167,8,41,41,3,3,88,Very Good
258,12,64,64,5,5,53,Good
348,17,87,87,6,6,66,Good
413,20,103,103,8,8,76,Very Good
160,8,40,40,3,3,68,Good
197,9,49,49,3,3,76,Very Good
439,21,109,109,8,8,75,Very Good
292,14,73,73,5,5,59,Good
264,13,66,66,5,5,76,Very Good
470,23,117,117,9,9,91,Very Good
486,24,121,121,9,9,89,Very Good
362,18,90,90,7,7,83,Very Good
493,24,123,123,9,9,46,Fine
187,9,46,46,3,3,76,Very Good
100,5,25,25,2,2,68,Good
144,7,36,36,2,2,47,Fine
406,20,101,101,8,8,47,Fine
494,24,123,123,9,9,41,Fine
246,12,61,61,4,4,64,Good
276,13,69,69,5,5,90,Very Good
219,10,54,54,4,4,59,Good
234,11,58,58,4,4,78,Very Good
124,6,31,31,2,2,64,Good
285,14,71,71,5,5,57,Good
279,13,69,69,5,5,90,Very Good
130,6,32,32,2,2,89,Very Good
178,8,44,44,3,3,89,Very Good
129,6,32,32,2,2,93,Very Good
220,11,55,55,4,4,58,Good
496,24,124,124,9,9,61,Good
129,6,32,32,2,2,61,Good
272,13,68,68,5,5,50,Good
102,5,25,25,2,2,52,Good
135,6,33,33,2,2,54,Good
344,17,86,86,6,6,74,Very Good
243,12,60,60,4,4,77,Very Good
132,6,33,33,2,2,55,Good
290,14,72,72,5,5,40,Fine
438,21,109,109,8,8,42,Fine
234,11,58,58,4,4,57,Good
221,11,55,55,4,4,53,Good
356,17,89,89,7,7,65,Good
278,13,69,69,5,5,73,Very Good
334,16,83,83,6,6,78,Very Good
330,16,82,82,6,6,71,Very Good
188,9,47,47,3,3,59,Good
496,24,124,124,9,9,100,Very Good
474,23,118,118,9,9,81,Very Good
131,6,32,32,2,2,49,Fine
260,13,65,65,5,5,43,Fine
260,13,65,65,5,5,44,Fine
174,8,43,43,3,3,75,Very Good
343,17,85,85,6,6,58,Good
241,12,60,60,4,4,43,Fine
394,19,98,98,7,7,60,Good
362,18,90,90,7,7,63,Good
204,10,51,51,4,4,40,Fine
367,18,91,91,7,7,46,Fine
224,11,56,56,4,4,76,Very Good
241,12,60,60,4,4,72,Very Good
254,12,63,63,5,5,59,Good
383,19,95,95,7,7,66,Good
444,22,111,111,8,8,83,Very Good
293,14,73,73,5,5,57,Good
143,7,35,35,2,2,99,Very Good
379,18,94,94,7,7,80,Very Good
227,11,56,56,4,4,90,Very Good
103,5,25,25,2,2,76,Very Good
136,6,34,34,2,2,74,Very Good
363,18,90,90,7,7,83,Very Good
345,17,86,86,6,6,50,Good
210,10,52,52,4,4,75,Very Good
126,6,31,31,2,2,69,Good
454,22,113,113,9,9,90,Very Good
354,17,88,88,7,7,96,Very Good
487,24,121,121,9,9,99,Very Good
173,8,43,43,3,3,91,Very Good
478,23,119,119,9,9,73,Very Good
313,15,78,78,6,6,44,Fine
394,19,98,98,7,7,64,Good
400,20,100,100,8,8,91,Very Good
228,11,57,57,4,4,72,Very Good
456,22,114,114,9,9,46,Fine
496,24,124,124,9,9,66,Good
122,6,30,30,2,2,79,Very Good
147,7,36,36,2,2,93,Very Good
420,21,105,105,8,8,68,Good
193,9,48,48,3,3,66,Good
108,5,27,27,2,2,56,Good
194,9,48,48,3,3,95,Very Good
470,23,117,117,9,9,93,Very Good
236,11,59,59,4,4,73,Very Good
136,6,34,34,2,2,85,Very Good
468,23,117,117,9,9,56,Good
295,14,73,73,5,5,55,Good
450,22,112,112,9,9,45,Fine
485,24,121,121,9,9,59,Good
128,6,32,32,2,2,62,Good
315,15,78,78,6,6,41,Fine
440,22,110,110,8,8,98,Very Good
389,19,97,97,7,7,85,Very Good
378,18,94,94,7,7,60,Good
388,19,97,97,7,7,85,Very Good
338,16,84,84,6,6,62,Good
154,7,38,38,3,3,44,Fine
483,24,120,120,9,9,88,Very Good
476,23,119,119,9,9,98,Very Good
263,13,65,65,5,5,87,Very Good
279,13,69,69,5,5,69,Good
358,17,89,89,7,7,96,Very Good
347,17,86,86,6,6,68,Good
347,17,86,86,6,6,99,Very Good
430,21,107,107,8,8,72,Very Good
269,13,67,67,5,5,48,Fine
372,18,93,93,7,7,94,Very Good
180,9,45,45,3,3,45,Fine
120,6,30,30,2,2,55,Good
428,21,107,107,8,8,77,Very Good
330,16,82,82,6,6,51,Good
455,22,113,113,9,9,100,Very Good
133,6,33,33,2,2,59,Good
131,6,32,32,2,2,41,Fine
306,15,76,76,6,6,80,Very Good
385,19,96,96,7,7,87,Very Good
450,22,112,112,9,9,42,Fine
177,8,44,44,3,3,100,Very Good
412,20,103,103,8,8,84,Very Good
417,20,104,104,8,8,43,Fine
345,17,86,86,6,6,73,Very Good
464,23,116,116,9,9,69,Good
474,23,118,118,9,9,79,Very Good
389,19,97,97,7,7,66,Good
206,10,51,51,4,4,50,Good
499,24,124,124,9,9,72,Very Good
486,24,121,121,9,9,97,Very Good
253,12,63,63,5,5,93,Very Good
196,9,49,49,3,3,58,Good
279,13,69,69,5,5,66,Good
347,17,86,86,6,6,66,Good
269,13,67,67,5,5,74,Very Good
155,7,38,38,3,3,95,Very Good
212,10,53,53,4,4,47,Fine
148,7,37,37,2,2,93,Very Good
308,15,77,77,6,6,95,Very Good
416,20,104,104,8,8,59,Good
450,22,112,112,9,9,61,Good
218,10,54,54,4,4,83,Very Good
353,17,88,88,7,7,63,Good
477,23,119,119,9,9,93,Very Good
152,7,38,38,3,3,43,Fine
434,21,108,108,8,8,70,Very Good
396,19,99,99,7,7,70,Very Good
410,20,102,102,8,8,48,Fine
202,10,50,50,4,4,71,Very Good
187,9,46,46,3,3,53,Good
445,22,111,111,8,8,48,Fine
120,6,30,30,2,2,62,Good
186,9,46,46,3,3,91,Very Good
430,21,107,107,8,8,94,Very Good
144,7,36,36,2,2,54,Good
239,11,59,59,4,4,50,Good
360,18,90,90,7,7,84,Very Good
443,22,110,110,8,8,72,Very Good
342,17,85,85,6,6,80,Very Good
245,12,61,61,4,4,77,Very Good
111,5,27,27,2,2,77,Very Good
471,23,117,117,9,9,59,Good
433,21,108,108,8,8,62,Good
107,5,26,26,2,2,80,Very Good
451,22,112,112,9,9,50,Good
133,6,33,33,2,2,71,Very Good
305,15,76,76,6,6,98,Very Good
268,13,67,67,5,5,71,Very Good
132,6,33,33,2,2,97,Very Good
399,19,99,99,7,7,99,Very Good
250,12,62,62,5,5,43,Fine
474,23,118,118,9,9,63,Good
369,18,92,92,7,7,53,Good
296,14,74,74,5,5,52,Good
401,20,100,100,8,8,70,Very Good
423,21,105,105,8,8,56,Good
280,14,70,70,5,5,99,Very Good
226,11,56,56,4,4,94,Very Good
396,19,99,99,7,7,83,Very Good
281,14,70,70,5,5,64,Good
131,6,32,32,2,2,91,Very Good
465,23,116,116,9,9,56,Good
123,6,30,30,2,2,63,Good
230,11,57,57,4,4,79,Very Good
122,6,30,30,2,2,53,Good
242,12,60,60,4,4,94,Very Good
282,14,70,70,5,5,48,Fine
230,11,57,57,4,4,58,Good
173,8,43,43,3,3,67,Good
109,5,27,27,2,2,91,Very Good
410,20,102,102,8,8,77,Very Good
307,15,76,76,6,6,64,Good
213,10,53,53,4,4,72,Very Good
444,22,111,111,8,8,69,Good
285,14,71,71,5,5,98,Very Good
439,21,109,109,8,8,43,Fine
299,14,74,74,5,5,78,Very Good
127,6,31,31,2,2,93,Very Good
487,24,121,121,9,9,90,Very Good
